Name,Description,Brain Region,Experiment Date,Contact Email,Published In,Location,Subject,License,Protocol,Repair Pipeline State,M-Type,Contributions
R01 Baseline,Standard xyz tuple location and full person-name-role contribution,Isocortex,,,,"(10, 20, 30)",Subject 01,License A,Protocol Alpha,,M-Type L2/3,"[(person, Jane Doe, Author)]"
R02 Legacy location,Backward-compatible comma-separated summary without parentheses,Hippocampus,,,,"15, 25, 35",Subject 02,License B,Protocol Beta,,M-Type L5,"[(person, Alice Smith, Reviewer)]"
R03 No location,Optional Location column intentionally left blank,Cerebellum,,,,,Subject 03,License C,Protocol Gamma,,M-Type L4,"[(organization, ACME Lab, Curator)]"
R04 Bad arity,Location has only two numbers expect parser issues,Striatum,,,,"(1, 2)",Subject 04,License A,Protocol Alpha,,M-Type L2/3,"[(person, Bob Lee, Author)]"
R05 Bad text,Location string is not a tuple or legacy summary,Thalamus,,,,not-a-valid-location,Subject 05,License B,Protocol Beta,,M-Type L5,"[(consortium, Brain Initiative, Author)]"
R06 Blank middle,Three-slot tuple with empty organization name slot,Hypothalamus,,,,"(5, 5, 5)",Subject 06,License C,Protocol Gamma,,M-Type L4,"[(organization, , Author)]"
R07 One token person,Single token resolved as person lookup,Midbrain,,,,"(1, 1, 1)",Subject 07,License A,Protocol Alpha,,M-Type L2/3,"[(Jane Doe)]"
R08 One token role,Single token resolved as role lookup,Pons,,,,"(2, 2, 2)",Subject 08,License B,Protocol Beta,,M-Type L5,"[(Author)]"
R09 Two tokens short,Abbreviated name and role pair,Medulla,,,,"(3, 3, 3)",Subject 09,License C,Protocol Gamma,,M-Type L4,"[(Jane Doe, Author)]"
R10 Type and name,Person type plus display name before role,Spinal cord,,,,"(4, 4, 4)",Subject 10,License A,Protocol Alpha,,M-Type L2/3,"[(person, Carol)]"
R11 Multiple tuples,Two contribution tuples in one cell,Primary motor cortex,,,,"(6, 6, 6)",Subject 11,License B,Protocol Beta,,M-Type L5,"[(person, Dave, Author), (organization, E Corp, Reviewer)]"
R12 Two-field tuple,Person type with single name token,Somatosensory cortex,,,,"(7, 7, 7)",Subject 12,License C,Protocol Gamma,,M-Type L4,"[(person, Eve)]"
R13 Syntax error,Unclosed bracket malformed contributions list,Visual cortex,,,,"(8, 8, 8)",Subject 13,License A,Protocol Alpha,,M-Type L2/3,"[(person, Frank, Author"
R14 Consortium,Full consortium contributor tuple,Auditory cortex,,,,"(9, 9, 9)",Subject 14,License B,Protocol Beta,,M-Type L5,"[(consortium, Global Consortium, Curator)]"
R15 Organization,Full organization contributor tuple,Prefrontal cortex,,,,"(10, 10, 10)",Subject 15,License C,Protocol Gamma,,M-Type L4,"[(organization, Uni Lab, Reviewer)]"
R16 Standard triple,Clean resolved-style triple,Entorhinal cortex,,,,"(11, 11, 11)",Subject 16,License A,Protocol Alpha,,M-Type L2/3,"[(person, Grace Park, Author)]"
R17 Empty contributions,Required Contributions column empty expect validation,Insular cortex,,,,"(12, 12, 12)",Subject 17,License B,Protocol Beta,,M-Type L5,
R18 Repeat tuples,Duplicate text versus row one for cache behavior,Cingulate cortex,,,,"(10, 20, 30)",Subject 18,License C,Protocol Gamma,,M-Type L4,"[(person, Jane Doe, Author)]"
R19 Decimal coords,Fractional micrometers in location tuple,Temporal pole,,,,"(1.5, 2.5, 3.5)",Subject 19,License A,Protocol Alpha,,M-Type L2/3,"[(person, Henry, Author)]"
R20 Type only,Single-slot type keyword only,Parietal cortex,,,,"(13, 13, 13)",Subject 20,License B,Protocol Beta,,M-Type L5,"[(person)]"
R21 Whitespace tuple,Extra spaces inside location parentheses,Occipital cortex,,,," ( 14 , 15 , 16 ) ",Subject 21,License C,Protocol Gamma,,M-Type L4,"[(person, Ivy, Author)]"
R22 Negative coords,Negative coordinates in tuple,Frontal cortex,,,,"(-1, -2, -3)",Subject 22,License A,Protocol Alpha,,M-Type L2/3,"[(person, Jack, Reviewer)]"
R23 Zero origin,All-zero location tuple,Subiculum,,,,"(0, 0, 0)",Subject 23,License B,Protocol Beta,,M-Type L5,"[(organization, Zero Lab, Curator)]"
R24 Longer text,Longer description without special punctuation issues,CA1,,,,"(20, 20, 20)",Subject 24,License C,Protocol Gamma,,M-Type L4,"[(person, Kim, Author)]"
R25 Experiment date,Optional Experiment Date populated,CA3,2024-06-01,,,"(21, 21, 21)",Subject 25,License A,Protocol Alpha,,M-Type L2/3,"[(person, Leo, Author)]"
R26 Contact publish,Contact Email and Published In both filled,Dentate gyrus,,contact@example.org,Journal Neuroscience 2023,"(22, 22, 22)",Subject 26,License B,Protocol Beta,,M-Type L5,"[(person, Mia, Reviewer)]"
R27 Mixed agents,Person then consortium in one contributions cell,Claustrum,,,,"(23, 23, 23)",Subject 27,License C,Protocol Gamma,,M-Type L4,"[(person, Nina, Author), (consortium, Open Brain, Curator)]"
R28 Quoted comma desc,"Description deliberately contains a comma for CSV quoting demo",Septum,,,,"(24, 24, 24)",Subject 28,License A,Protocol Alpha,,M-Type L2/3,"[(person, Oscar, Author)]"
R29 Minimal optionals,Most optional columns empty by design,Fornix,,,,,Subject 29,License B,Protocol Beta,,M-Type L5,"[(person, Pat, Author)]"
R30 Spaced brackets,Extra spaces inside contribution list brackets,Basal ganglia,,,,"(25, 25, 25)",Subject 30,License C,Protocol Gamma,,M-Type L4,"[ ( person , Quinn , Author ) ]"
